;Tidligste såning/plantning;Seneste såning/plantning;Plantes eller sås direkte I jorden;Sædskifteinterval;Antal frø eller planter per meter række;Sådybde;Anbefalet afstand mellem rækkerne I cm;Gødningsniveau;Forventet høst per række
Gulerod;15. marts;15. juni;såning;4 år;100;2 cm;35;lav;1,5 kg
Kartoffel;1. april;20. maj;plantes;4 år;4;10 cm;50;moderat;3 kg
Jordskok;1. april;20. maj;plantes;4 år;4;10 cm;50;moderat;3 kg
Radise;15. marts;1. september;såning;6 år;33;1 cm;30;lav;25 radiser
Pastinak;15. april;15. juni;såning;4 år;25;2 cm;35;mellem;1 kg
Persillerod;15. april;15. juni;såning;4 år;25;2 cm;35;mellem;1 kg
Rødbede;1. april;15. juli;såning;4 år;25 til 35;2 cm;35;moderat;1,5 kg
Knoldselleri;1. maj;15. juni;plantes;4 år;2,5;plante ikke for dybt;40;høj;1,5 kg
Skorzonerrod;15. april;15.juni;såning;4 år;25;2 cm;35;moderat;0,75kg
Tonkinokawa;15. april;15.juni;såning;4 år;25;2 cm;35;moderat;0,75kg
